"model","n","n_ok","MAE","RMSE","Bias","R2"
"KED",60,58,0.284800814174718,0.367886847114322,0.0279872611676037,0.751632775047168
"GAM",60,57,0.300850217065772,0.463674520243238,-0.0535311859241439,0.640802507291126
"RF",60,57,0.378321956479036,0.495360086219088,-0.00124011544456281,0.545101114792416
"IDW",60,60,0.540583387816326,0.711360570794841,0.0880123512138919,0.0315954951137998
"OK",60,60,0.547765667971071,0.715762412071357,0.0492794660182244,0.0159457792276873
"Voronoi",60,60,0.66712928554307,0.896771267023884,0.205294018564518,0.0392510098727415
